states,districts,active,confirmed,deceased,recovered
West Bengal,Bankura,100,11903,92,11711
West Bengal,Birbhum,120,10008,89,9799
West Bengal,Cooch Behar,22,11829,72,11735
West Bengal,Dakshin Dinajpur,14,8175,74,8087
West Bengal,Darjeeling,114,18380,203,18063
West Bengal,Hooghly,137,29551,495,28919
West Bengal,Howrah,98,35636,1044,34494
West Bengal,Jalpaiguri,96,14669,163,14410
West Bengal,Jhargram,22,3042,22,2998
West Bengal,Kalimpong,22,2229,26,2181
West Bengal,Kolkata,1107,128491,3089,124295
West Bengal,Malda,49,12669,114,12506
West Bengal,Murshidabad,67,12283,149,12067
West Bengal,Nadia,116,22585,318,22151
West Bengal,North 24 Parganas,1021,122437,2496,118920
West Bengal,Other State,0,66,3,63
West Bengal,Paschim Bardhaman,275,16295,168,15852
West Bengal,Paschim Medinipur,96,20206,309,19801
West Bengal,Purba Bardhaman,59,12649,101,12489
West Bengal,Purba Medinipur,165,20646,279,20202
West Bengal,Purulia,110,7216,48,7058
West Bengal,South 24 Parganas,252,37087,714,36121
West Bengal,Uttar Dinajpur,86,6651,76,6489
